"时间","力 1 Monitor 5: 力 1 Monitor 5 (N)","力 2 Monitor 5: 力 2 Monitor 5 (N)","力 3 Monitor 5: 力 3 Monitor 5 (N)"
0.005,-0.8213963045610196,-0.003148212827531635,0.20391458570743978
0.015,-0.05669961181836114,0.001763524050589886,0.31644733890824617
0.025,0.0031487783191141336,-6.892987805403302E-4,0.3270778283845563
0.04,-0.017986374164422975,-5.2009830911738634E-5,0.3240310917133341
0.049999999999999996,-0.016305066868249174,1.3568737368208143E-4,0.3232647950572595
0.06499999999999999,-0.012852099081939686,8.116002847297576E-5,0.32340491268552807
0.075,-0.014464186264590144,1.0829455197780324E-4,0.32348576996127104
0.09000000000000001,-0.013937894406587954,1.6633327067948415E-4,0.3237153960342416
0.10000000000000002,-0.013243742111722488,1.5211990173730718E-4,0.32388218652025397
0.11500000000000003,-0.013132309877660274,9.777380168372349E-5,0.32407894789193825
0.12500000000000003,-0.012936810367609627,-2.347781319167376E-5,0.32417321592004594
0.14000000000000004,-0.013211993326145543,-3.3950459558658246E-4,0.3242131735260158
0.15000000000000005,-0.013837251263556585,-3.544031989015893E-4,0.3241782490092206
0.16500000000000006,-0.013573777003814702,-1.7818411174623722E-4,0.32424824343742414
0.17500000000000007,-0.013180525030303637,-5.9834315877527135E-5,0.3243889884011354
0.19000000000000009,-0.012957017970166126,4.982938955227108E-5,0.3245619481166744
0.2000000000000001,-0.01295314007930459,-1.1376626613697061E-4,0.3246378008472029
0.2150000000000001,-0.012916174535109445,-2.5054303857339496E-4,0.32476765941727004
0.22500000000000012,-0.012933277807252213,-1.5428663401015134E-5,0.3247625509673841
0.24000000000000013,-0.013456858097802105,1.8570441196705202E-4,0.3248435735179545
0.2500000000000001,-0.0137150966114505,1.5571524833463553E-4,0.32487212921179165
0.2600000000000001,-0.01385434017017926,1.224819865276743E-4,0.3248962040788052
0.27500000000000013,-0.013655691897117378,1.3910698611477605E-4,0.3250213172057811
0.28500000000000014,-0.013583164337477086,9.976155722684943E-5,0.32511160441573467
0.30000000000000016,-0.013869741235780582,5.127742354567833E-5,0.3252161504092767
0.31000000000000016,-0.01569243309655319,6.121282282205433E-5,0.3248691970050506
0.3250000000000002,-0.015553503982519236,1.1978259238803927E-4,0.32494606899747996
0.3350000000000002,-0.014589178443160985,1.061172165478754E-4,0.32519910821354586
0.3500000000000002,-0.014624234156559935,3.5495374966914694E-5,0.32542130280610776
0.3600000000000002,-0.01495888431000243,1.122236161200473E-5,0.32544319744924977
0.3750000000000002,-0.014829553178115677,-6.221409093960466E-6,0.3254981531674223
0.38500000000000023,-0.014627470451213482,-1.0746455504231053E-5,0.32558437914967925
