,y/d,x/d,Cfr,Cfv
0,0.75,0.0,0.0,0.658624288595204
1,0.750125,0.0,0.0,0.6586811755413227
2,0.75025,0.0,0.0,0.6587340417219903
3,0.750375,0.0,0.0,0.6587825489330967
4,0.7505,0.0,0.0,0.6588262685802463
5,0.750625,0.0,0.0,0.6588646290383819
6,0.75075,0.0,0.0,0.6588971302920211
7,0.750875,0.0,0.0,0.6589234004734174
8,0.7509999999999999,0.0,0.0,0.6589431032734144
9,0.751125,0.0,0.0,0.6589560300362766
10,0.75125,0.0,0.0,0.658961921643833
11,0.751375,0.0,0.0,0.6589602866442678
12,0.7515,0.0,0.0,0.6589506928511123
13,0.751625,0.0,0.0,0.6589327600564969
14,0.75175,0.0,0.0,0.6589060846996037
15,0.751875,0.0,0.0,0.6588704070117407
16,0.752,0.0,0.0,0.6588254522260347
17,0.752125,0.0,0.0,0.6587708568707432
18,0.75225,0.0,0.0,0.6587063816148767
19,0.752375,0.0,0.0,0.6586319052001186
20,0.7525,0.0,0.0,0.6585473722625711
21,0.752625,0.0,0.0,0.6584528807700977
22,0.75275,0.0,0.0,0.6583484835867959
23,0.752875,0.0,0.0,0.6582340361477386
24,0.753,0.0,0.0,0.6581094056941453
25,0.753125,0.0,0.0,0.6579744186180282
26,0.75325,0.0,0.0,0.6578289210456107
27,0.753375,0.0,0.0,0.6576729781643531
28,0.7535,0.0,0.0,0.657506611950205
29,0.753625,0.0,0.0,0.6573297636410261
30,0.75375,0.0,0.0,0.6571424670867739
31,0.753875,0.0,0.0,0.6569447536015031
32,0.754,0.0,0.0,0.6567367149405925
33,0.754125,0.0,0.0,0.6565186039066718
34,0.75425,0.0,0.0,0.6562906163880796
35,0.754375,0.0,0.0,0.6560528229576852
36,0.7545,0.0,0.0,0.6558053275373248
37,0.754625,0.0,0.0,0.6555482063168603
38,0.75475,0.0,0.0,0.6552815942961652
39,0.754875,0.0,0.0,0.6550058439019657
40,0.755,0.0,0.0,0.6547213344860634
41,0.755125,0.0,0.0,0.6544284721552927
42,0.75525,0.0,0.0,0.6541277457735588
43,0.755375,0.0,0.0,0.6538196096874119
44,0.7555,0.0,0.0,0.6535046091614988
45,0.755625,0.0,0.0,0.6531834373761486
46,0.75575,0.0,0.0,0.65285668686852
47,0.755875,0.0,0.0,0.6525247885354226
48,0.7559999999999999,0.0,0.0,0.6521881002703637
49,0.756125,0.0,0.0,0.6518467941441609
50,0.75625,0.0,0.0,0.6515010435836825
51,0.756375,0.0,0.0,0.6511512067307134
52,0.7565,0.0,0.0,0.6507975023797257
53,0.756625,0.0,0.0,0.6504400086978734
54,0.75675,0.0,0.0,0.6500788718897121
55,0.756875,0.0,0.0,0.6497142204450762
56,0.757,0.0,0.0,0.6493462398650683
57,0.757125,0.0,0.0,0.6489753051556435
58,0.75725,0.0,0.0,0.6486016453816393
59,0.757375,0.0,0.0,0.6482251939170139
60,0.7575,0.0,0.0,0.6478458923050557
61,0.757625,0.0,0.0,0.6474636138633821
62,0.75775,0.0,0.0,0.6470782868817445
63,0.757875,0.0,0.0,0.6466901896708919
64,0.758,0.0,0.0,0.6462996247969819
65,0.758125,0.0,0.0,0.6459069106354498
66,0.75825,0.0,0.0,0.6455125240272496
67,0.758375,0.0,0.0,0.6451169208672631
68,0.7585,0.0,0.0,0.6447207437682116
69,0.758625,0.0,0.0,0.6443249468350192
70,0.75875,0.0,0.0,0.6439303203637737
71,0.758875,0.0,0.0,0.6435373441115125
72,0.759,0.0,0.0,0.6431464181944757
73,0.759125,0.0,0.0,0.6427576659285111
74,0.75925,0.0,0.0,0.642371304569237
75,0.759375,0.0,0.0,0.6419880533686978
76,0.7595,0.0,0.0,0.6416084903981044
77,0.759625,0.0,0.0,0.6412330586680083
78,0.75975,0.0,0.0,0.6408622916244556
79,0.759875,0.0,0.0,0.640496484084935
80,0.76,0.0,0.0,0.64013600275848
81,0.760125,0.0,0.0,0.6397814735255014
82,0.76025,0.0,0.0,0.6394332818256176
83,0.760375,0.0,0.0,0.6390915326531004
84,0.7605,0.0,0.0,0.6387562586314806
85,0.760625,0.0,0.0,0.638427239653958
86,0.76075,0.0,0.0,0.6381043447345085
87,0.760875,0.0,0.0,0.6377878691738242
88,0.7609999999999999,0.0,0.0,0.6374780837949089
89,0.761125,0.0,0.0,0.6371753013488989
90,0.76125,0.0,0.0,0.6368798633141426
91,0.761375,0.0,0.0,0.6365917842497685
92,0.7615,0.0,0.0,0.6363111869096085
93,0.761625,0.0,0.0,0.6360384042157909
94,0.76175,0.0,0.0,0.6357735811776497
95,0.761875,0.0,0.0,0.6355167680647698
96,0.762,0.0,0.0,0.6352679038054563
97,0.762125,0.0,0.0,0.6350266123550714
98,0.76225,0.0,0.0,0.6347926031695861
99,0.762375,0.0,0.0,0.6345658756453337
100,0.7625,0.0,0.0,0.6343463187307342
101,0.762625,0.0,0.0,0.6341337934468219
102,0.76275,0.0,0.0,0.6339281280733363
103,0.762875,0.0,0.0,0.633728847214361
104,0.763,0.0,0.0,0.6335354805521655
105,0.763125,0.0,0.0,0.6333476359284977
106,0.76325,0.0,0.0,0.6331647483858859
107,0.763375,0.0,0.0,0.6329861720437386
108,0.7635,0.0,0.0,0.6328111599811094
109,0.763625,0.0,0.0,0.6326387456792245
110,0.76375,0.0,0.0,0.6324681127162392
111,0.763875,0.0,0.0,0.6322987979785311
112,0.764,0.0,0.0,0.6321304302404767
113,0.764125,0.0,0.0,0.6319628653384349
114,0.76425,0.0,0.0,0.6317960258395536
115,0.764375,0.0,0.0,0.6316295989003292
116,0.7645,0.0,0.0,0.6314635156087098
117,0.764625,0.0,0.0,0.6312980068460401
118,0.76475,0.0,0.0,0.6311331671803961
119,0.764875,0.0,0.0,0.6309690105023745
120,0.765,0.0,0.0,0.6308054670432436
121,0.765125,0.0,0.0,0.6306421487669234
122,0.76525,0.0,0.0,0.6304788910416415
123,0.765375,0.0,0.0,0.6303160817249047
124,0.7655,0.0,0.0,0.6301540628559498
125,0.765625,0.0,0.0,0.6299932270470471
126,0.76575,0.0,0.0,0.6298339406048044
127,0.765875,0.0,0.0,0.6296760623382556
128,0.7659999999999999,0.0,0.0,0.6295194555206329
129,0.766125,0.0,0.0,0.6293640613805057
130,0.76625,0.0,0.0,0.6292095574300266
131,0.766375,0.0,0.0,0.6290555725007118
132,0.7665,0.0,0.0,0.6289014914749975
133,0.766625,0.0,0.0,0.6287462395236778
134,0.76675,0.0,0.0,0.6285889959981187
135,0.766875,0.0,0.0,0.62842949010457
136,0.767,0.0,0.0,0.6282675638106365
137,0.767125,0.0,0.0,0.628103444432641
138,0.76725,0.0,0.0,0.6279372693884757
139,0.767375,0.0,0.0,0.6277684539065221
140,0.7675,0.0,0.0,0.6275966493659978
141,0.767625,0.0,0.0,0.627421768853182
142,0.76775,0.0,0.0,0.6272435305337702
143,0.767875,0.0,0.0,0.6270618746529218
144,0.768,0.0,0.0,0.6268765888178766
145,0.768125,0.0,0.0,0.6266869844127164
146,0.76825,0.0,0.0,0.6264926897507666
147,0.768375,0.0,0.0,0.6262938100583207
148,0.7685,0.0,0.0,0.6260904545736219
149,0.768625,0.0,0.0,0.625882982811283
150,0.76875,0.0,0.0,0.6256716556209654
151,0.768875,0.0,0.0,0.6254561230089926
152,0.769,0.0,0.0,0.6252360844800398
153,0.769125,0.0,0.0,0.625011273699826
154,0.76925,0.0,0.0,0.6247812831773928
155,0.769375,0.0,0.0,0.6245459651401561
156,0.7695,0.0,0.0,0.6243050093016334
157,0.769625,0.0,0.0,0.6240577586413892
158,0.76975,0.0,0.0,0.623803819542748
159,0.769875,0.0,0.0,0.6235430988301998
160,0.77,0.0,0.0,0.6232756421199122
161,0.770125,0.0,0.0,0.6230019047617461
162,0.77025,0.0,0.0,0.6227222880842694
163,0.770375,0.0,0.0,0.6224367611937072
164,0.7705,0.0,0.0,0.6221455178876146
165,0.770625,0.0,0.0,0.6218489333022239
166,0.77075,0.0,0.0,0.6215473078515484
167,0.770875,0.0,0.0,0.6212411537492324
168,0.7709999999999999,0.0,0.0,0.6209309024740661
169,0.771125,0.0,0.0,0.6206166964604184
170,0.77125,0.0,0.0,0.6202989310258061
171,0.771375,0.0,0.0,0.6199783520095662
172,0.7715,0.0,0.0,0.6196557304227256
173,0.771625,0.0,0.0,0.6193320255203673
174,0.77175,0.0,0.0,0.6190080807445142
175,0.771875,0.0,0.0,0.6186842234715482
176,0.772,0.0,0.0,0.6183607443370513
177,0.772125,0.0,0.0,0.6180378513871233
178,0.77225,0.0,0.0,0.6177155647934671
179,0.772375,0.0,0.0,0.6173940294576877
180,0.7725,0.0,0.0,0.6170731173615059
181,0.772625,0.0,0.0,0.6167522705521824
182,0.77275,0.0,0.0,0.6164311277228987
183,0.772875,0.0,0.0,0.6161096269192482
184,0.773,0.0,0.0,0.6157877850174001
185,0.773125,0.0,0.0,0.6154659732824181
186,0.77325,0.0,0.0,0.6151443692189145
187,0.773375,0.0,0.0,0.6148224568523535
188,0.7735,0.0,0.0,0.6144998374532397
189,0.773625,0.0,0.0,0.614176183359094
190,0.77375,0.0,0.0,0.6138510919756788
191,0.773875,0.0,0.0,0.6135245887732824
192,0.774,0.0,0.0,0.6131966299709587
193,0.774125,0.0,0.0,0.6128669180094789
194,0.77425,0.0,0.0,0.6125354543992633
195,0.774375,0.0,0.0,0.6122024554451851
196,0.7745,0.0,0.0,0.6118682991006469
197,0.774625,0.0,0.0,0.6115337729019686
198,0.77475,0.0,0.0,0.6111994336557656
199,0.774875,0.0,0.0,0.6108651939666769
200,0.775,0.0,0.0,0.6105308911475487
201,0.775125,0.0,0.0,0.6101960884402405
202,0.77525,0.0,0.0,0.609860344505937
203,0.775375,0.0,0.0,0.6095238211102745
204,0.7755,0.0,0.0,0.6091864347183553
205,0.775625,0.0,0.0,0.608847765939813
206,0.77575,0.0,0.0,0.6085076385101552
207,0.775875,0.0,0.0,0.6081658472779551
208,0.7759999999999999,0.0,0.0,0.6078223541462465
209,0.776125,0.0,0.0,0.6074776322281105
210,0.77625,0.0,0.0,0.6071319081135226
211,0.776375,0.0,0.0,0.6067848849470655
212,0.7765,0.0,0.0,0.6064363649910187
213,0.776625,0.0,0.0,0.6060860603926259
214,0.77675,0.0,0.0,0.6057337134147063
215,0.776875,0.0,0.0,0.605379574189613
216,0.777,0.0,0.0,0.6050238185437836
217,0.777125,0.0,0.0,0.6046664625403033
218,0.77725,0.0,0.0,0.6043077382580496
219,0.777375,0.0,0.0,0.6039478732301121
